Weekday,Day,Week_Number,Month,Year
Wednesday,25/12/2019,52,December,2019
Thursday,26/12/2019,52,December,2019
Friday,27/12/2019,52,December,2019
Saturday,28/12/2019,52,December,2019
Sunday,29/12/2019,52,December,2019
Monday,30/12/2019,1,December,2019
Tuesday,31/12/2019,1,December,2019
Wednesday,01/01/2020,1,January,2020
Thursday,02/01/2020,1,January,2020
Friday,03/01/2020,1,January,2020
Saturday,04/01/2020,1,January,2020
Sunday,05/01/2020,1,January,2020
Monday,06/01/2020,2,January,2020
Tuesday,07/01/2020,2,January,2020
Wednesday,08/01/2020,2,January,2020
Thursday,09/01/2020,2,January,2020
Friday,10/01/2020,2,January,2020
Saturday,11/01/2020,2,January,2020
Sunday,12/01/2020,2,January,2020
Monday,13/01/2020,3,January,2020
Tuesday,14/01/2020,3,January,2020
Wednesday,15/01/2020,3,January,2020
Thursday,16/01/2020,3,January,2020
Friday,17/01/2020,3,January,2020
Saturday,18/01/2020,3,January,2020
Sunday,19/01/2020,3,January,2020
Monday,20/01/2020,4,January,2020
Tuesday,21/01/2020,4,January,2020
Wednesday,22/01/2020,4,January,2020
Thursday,23/01/2020,4,January,2020
Friday,24/01/2020,4,January,2020
Saturday,25/01/2020,4,January,2020
Sunday,26/01/2020,4,January,2020
Monday,27/01/2020,5,January,2020
Tuesday,28/01/2020,5,January,2020
Wednesday,29/01/2020,5,January,2020
Thursday,30/01/2020,5,January,2020
Friday,31/01/2020,5,January,2020
Saturday,01/02/2020,5,February,2020
Sunday,02/02/2020,5,February,2020
Monday,03/02/2020,6,February,2020
Tuesday,04/02/2020,6,February,2020
Wednesday,05/02/2020,6,February,2020
Thursday,06/02/2020,6,February,2020
Friday,07/02/2020,6,February,2020
Saturday,08/02/2020,6,February,2020
Sunday,09/02/2020,6,February,2020
Monday,10/02/2020,7,February,2020
Tuesday,11/02/2020,7,February,2020
Wednesday,12/02/2020,7,February,2020
Thursday,13/02/2020,7,February,2020
Friday,14/02/2020,7,February,2020
Saturday,15/02/2020,7,February,2020
Sunday,16/02/2020,7,February,2020
Monday,17/02/2020,8,February,2020
Tuesday,18/02/2020,8,February,2020
Wednesday,19/02/2020,8,February,2020
Thursday,20/02/2020,8,February,2020
Friday,21/02/2020,8,February,2020
Saturday,22/02/2020,8,February,2020
Sunday,23/02/2020,8,February,2020
Monday,24/02/2020,9,February,2020
Tuesday,25/02/2020,9,February,2020
Wednesday,26/02/2020,9,February,2020
Thursday,27/02/2020,9,February,2020
Friday,28/02/2020,9,February,2020
Saturday,29/02/2020,9,February,2020
Sunday,01/03/2020,9,March,2020
Monday,02/03/2020,10,March,2020
Tuesday,03/03/2020,10,March,2020
Wednesday,04/03/2020,10,March,2020
Thursday,05/03/2020,10,March,2020
Friday,06/03/2020,10,March,2020
Saturday,07/03/2020,10,March,2020
Sunday,08/03/2020,10,March,2020
Monday,09/03/2020,11,March,2020
Tuesday,10/03/2020,11,March,2020
Wednesday,11/03/2020,11,March,2020
Thursday,12/03/2020,11,March,2020
Friday,13/03/2020,11,March,2020
Saturday,14/03/2020,11,March,2020
Sunday,15/03/2020,11,March,2020
Monday,16/03/2020,12,March,2020
Tuesday,17/03/2020,12,March,2020
Wednesday,18/03/2020,12,March,2020
Thursday,19/03/2020,12,March,2020
Friday,20/03/2020,12,March,2020
Saturday,21/03/2020,12,March,2020
Sunday,22/03/2020,12,March,2020
Monday,23/03/2020,13,March,2020
Tuesday,24/03/2020,13,March,2020
Wednesday,25/03/2020,13,March,2020
Thursday,26/03/2020,13,March,2020
Friday,27/03/2020,13,March,2020
Saturday,28/03/2020,13,March,2020
Sunday,29/03/2020,13,March,2020
Monday,30/03/2020,14,March,2020
Tuesday,31/03/2020,14,March,2020
Wednesday,01/04/2020,14,April,2020
Thursday,02/04/2020,14,April,2020
Friday,03/04/2020,14,April,2020
Saturday,04/04/2020,14,April,2020
Sunday,05/04/2020,14,April,2020
Monday,06/04/2020,15,April,2020
Tuesday,07/04/2020,15,April,2020
Wednesday,08/04/2020,15,April,2020
Thursday,09/04/2020,15,April,2020
Friday,10/04/2020,15,April,2020
Saturday,11/04/2020,15,April,2020
Sunday,12/04/2020,15,April,2020
Monday,13/04/2020,16,April,2020
Tuesday,14/04/2020,16,April,2020
Wednesday,15/04/2020,16,April,2020
Thursday,16/04/2020,16,April,2020
Friday,17/04/2020,16,April,2020
Saturday,18/04/2020,16,April,2020
